asset_id,criterion,direct,evidence_first,counterclaim,prompt_stable,vlm_median,author_score
BL_AODAI_001,garment_components,1,1,1,True,1.0,2
BL_AODAI_001,material_and_drape,1,1,1,True,1.0,1
BL_AODAI_001,motif_and_texture,NA,NA,1,False,1.0,1
BL_AODAI_001,regional_period_consistency,NA,NA,NA,True,NA,NA
BL_AODAI_001,sewing_pattern_plausibility,NA,NA,1,False,1.0,1
BL_AODAI_001,silhouette_and_proportion,2,2,2,True,2.0,2
BL_AODAI_001,wearing_context,NA,NA,NA,True,NA,NA
BL_AODAI_002,garment_components,1,1,1,True,1.0,2
BL_AODAI_002,material_and_drape,1,1,2,False,1.0,1
BL_AODAI_002,motif_and_texture,NA,NA,1,False,1.0,1
BL_AODAI_002,regional_period_consistency,NA,NA,NA,True,NA,NA
BL_AODAI_002,sewing_pattern_plausibility,NA,NA,1,False,1.0,1
BL_AODAI_002,silhouette_and_proportion,2,2,2,True,2.0,2
BL_AODAI_002,wearing_context,NA,NA,NA,True,NA,NA
BL_AODAI_003,garment_components,1,1,1,True,1.0,2
BL_AODAI_003,material_and_drape,1,NA,1,False,1.0,1
BL_AODAI_003,motif_and_texture,1,NA,1,False,1.0,1
BL_AODAI_003,regional_period_consistency,NA,NA,NA,True,NA,NA
BL_AODAI_003,sewing_pattern_plausibility,1,NA,1,False,1.0,1
BL_AODAI_003,silhouette_and_proportion,2,2,2,True,2.0,1
BL_AODAI_003,wearing_context,NA,NA,NA,True,NA,NA
BL_AODAI_004,garment_components,1,1,1,True,1.0,1
BL_AODAI_004,material_and_drape,2,1,1,False,1.0,1
BL_AODAI_004,motif_and_texture,1,NA,NA,False,1.0,1
BL_AODAI_004,regional_period_consistency,NA,NA,NA,True,NA,NA
BL_AODAI_004,sewing_pattern_plausibility,1,NA,NA,False,1.0,1
BL_AODAI_004,silhouette_and_proportion,2,2,2,True,2.0,2
BL_AODAI_004,wearing_context,NA,NA,NA,True,NA,NA
BL_AODAI_005,garment_components,1,1,1,True,1.0,2
BL_AODAI_005,material_and_drape,2,1,1,False,1.0,1
BL_AODAI_005,motif_and_texture,1,1,1,True,1.0,1
BL_AODAI_005,regional_period_consistency,NA,NA,NA,True,NA,NA
BL_AODAI_005,sewing_pattern_plausibility,1,1,NA,False,1.0,1
BL_AODAI_005,silhouette_and_proportion,2,2,2,True,2.0,1
BL_AODAI_005,wearing_context,NA,NA,NA,True,NA,NA
TSR_AODAI_001,garment_components,1,1,1,True,1.0,1
TSR_AODAI_001,material_and_drape,2,1,1,False,1.0,1
TSR_AODAI_001,motif_and_texture,1,1,1,True,1.0,1
TSR_AODAI_001,regional_period_consistency,NA,NA,NA,True,NA,NA
TSR_AODAI_001,sewing_pattern_plausibility,NA,NA,NA,True,NA,0
TSR_AODAI_001,silhouette_and_proportion,2,2,2,True,2.0,2
TSR_AODAI_001,wearing_context,NA,NA,NA,True,NA,NA
TSR_AODAI_002,garment_components,1,1,1,True,1.0,1
TSR_AODAI_002,material_and_drape,2,2,1,False,2.0,1
TSR_AODAI_002,motif_and_texture,1,1,NA,False,1.0,1
TSR_AODAI_002,regional_period_consistency,NA,NA,NA,True,NA,NA
TSR_AODAI_002,sewing_pattern_plausibility,1,NA,NA,False,1.0,0
TSR_AODAI_002,silhouette_and_proportion,2,2,2,True,2.0,2
TSR_AODAI_002,wearing_context,NA,NA,NA,True,NA,NA
