threshold,precision,recall,f1
0.0,0.5,1.0,0.6666666666666666
0.005,1.0,1.0,1.0
0.01,1.0,1.0,1.0
0.015,1.0,1.0,1.0
0.02,1.0,1.0,1.0
0.025,1.0,1.0,1.0
0.03,1.0,1.0,1.0
0.035,1.0,1.0,1.0
0.04,1.0,1.0,1.0
0.045,1.0,1.0,1.0
0.05,1.0,1.0,1.0
0.055,1.0,1.0,1.0
0.06,1.0,1.0,1.0
0.065,1.0,1.0,1.0
0.07,1.0,1.0,1.0
0.075,1.0,1.0,1.0
0.08,1.0,1.0,1.0
0.085,1.0,1.0,1.0
0.09,1.0,1.0,1.0
0.095,1.0,1.0,1.0
0.1,1.0,1.0,1.0
0.105,1.0,1.0,1.0
0.11,1.0,1.0,1.0
0.115,1.0,1.0,1.0
0.12,1.0,0.9895833333333334,0.9947643979057592
0.125,1.0,0.9583333333333334,0.9787234042553191
0.13,1.0,0.9583333333333334,0.9787234042553191
0.135,1.0,0.9583333333333334,0.9787234042553191
0.14,1.0,0.9583333333333334,0.9787234042553191
0.145,1.0,0.9583333333333334,0.9787234042553191
0.15,1.0,0.9583333333333334,0.9787234042553191
0.155,1.0,0.8333333333333334,0.9090909090909091
0.16,1.0,0.8333333333333334,0.9090909090909091
0.165,1.0,0.7916666666666666,0.8837209302325582
0.17,1.0,0.7916666666666666,0.8837209302325582
0.17500000000000002,1.0,0.7916666666666666,0.8837209302325582
0.18,1.0,0.7638888888888888,0.8661417322834646
0.185,1.0,0.7534722222222222,0.8594059405940594
0.19,1.0,0.75,0.8571428571428571
0.195,1.0,0.75,0.8571428571428571
0.2,1.0,0.75,0.8571428571428571
0.20500000000000002,1.0,0.75,0.8571428571428571
0.21,1.0,0.75,0.8571428571428571
0.215,1.0,0.75,0.8571428571428571
0.22,1.0,0.75,0.8571428571428571
0.225,1.0,0.75,0.8571428571428571
0.23,1.0,0.75,0.8571428571428571
0.23500000000000001,1.0,0.75,0.8571428571428571
0.24,1.0,0.7326388888888888,0.845691382765531
0.245,1.0,0.7083333333333334,0.8292682926829268
0.25,1.0,0.7083333333333334,0.8292682926829268
0.255,1.0,0.7083333333333334,0.8292682926829268
0.26,1.0,0.7083333333333334,0.8292682926829268
0.265,1.0,0.7083333333333334,0.8292682926829268
0.27,1.0,0.7083333333333334,0.8292682926829268
0.275,1.0,0.7083333333333334,0.8292682926829268
0.28,1.0,0.7083333333333334,0.8292682926829268
0.28500000000000003,1.0,0.7083333333333334,0.8292682926829268
0.29,1.0,0.7083333333333334,0.8292682926829268
0.295,1.0,0.7083333333333334,0.8292682926829268
0.3,1.0,0.7083333333333334,0.8292682926829268
0.305,1.0,0.5833333333333334,0.7368421052631579
0.31,1.0,0.5833333333333334,0.7368421052631579
0.315,1.0,0.5833333333333334,0.7368421052631579
0.32,1.0,0.5833333333333334,0.7368421052631579
0.325,1.0,0.5833333333333334,0.7368421052631579
0.33,1.0,0.5833333333333334,0.7368421052631579
0.335,1.0,0.5833333333333334,0.7368421052631579
0.34,1.0,0.5833333333333334,0.7368421052631579
0.34500000000000003,1.0,0.5798611111111112,0.734065934065934
0.35000000000000003,1.0,0.5590277777777778,0.7171492204899778
0.355,1.0,0.5520833333333334,0.7114093959731543
0.36,1.0,0.5451388888888888,0.7056179775280899
0.365,1.0,0.5416666666666666,0.7027027027027027
0.37,1.0,0.5416666666666666,0.7027027027027027
0.375,1.0,0.5416666666666666,0.7027027027027027
0.38,1.0,0.5416666666666666,0.7027027027027027
0.385,1.0,0.5416666666666666,0.7027027027027027
0.39,1.0,0.5416666666666666,0.7027027027027027
0.395,1.0,0.5416666666666666,0.7027027027027027
0.4,1.0,0.5069444444444444,0.6728110599078341
0.405,1.0,0.5,0.6666666666666666
0.41000000000000003,1.0,0.5,0.6666666666666666
0.41500000000000004,1.0,0.5,0.6666666666666666
0.42,1.0,0.5,0.6666666666666666
0.425,1.0,0.5,0.6666666666666666
0.43,1.0,0.5,0.6666666666666666
0.435,1.0,0.5,0.6666666666666666
0.44,1.0,0.4618055555555556,0.6318289786223278
0.445,1.0,0.4583333333333333,0.6285714285714286
0.45,1.0,0.4583333333333333,0.6285714285714286
0.455,1.0,0.4583333333333333,0.6285714285714286
0.46,1.0,0.4583333333333333,0.6285714285714286
0.465,1.0,0.4583333333333333,0.6285714285714286
0.47000000000000003,1.0,0.4583333333333333,0.6285714285714286
0.47500000000000003,1.0,0.4583333333333333,0.6285714285714286
0.48,1.0,0.4583333333333333,0.6285714285714286
0.485,1.0,0.4583333333333333,0.6285714285714286
0.49,1.0,0.4583333333333333,0.6285714285714286
0.495,1.0,0.4583333333333333,0.6285714285714286
0.5,1.0,0.4583333333333333,0.6285714285714286
0.505,1.0,0.3333333333333333,0.5
0.51,1.0,0.3333333333333333,0.5
0.515,1.0,0.3333333333333333,0.5
0.52,1.0,0.3333333333333333,0.5
0.525,1.0,0.3333333333333333,0.5
0.53,1.0,0.3333333333333333,0.5
0.535,1.0,0.3333333333333333,0.5
0.54,1.0,0.3333333333333333,0.5
0.545,1.0,0.3333333333333333,0.5
0.55,1.0,0.3333333333333333,0.5
0.555,1.0,0.3333333333333333,0.5
0.56,1.0,0.3333333333333333,0.5
0.5650000000000001,1.0,0.3263888888888889,0.49214659685863876
0.5700000000000001,1.0,0.3159722222222222,0.48021108179419525
0.5750000000000001,1.0,0.3125,0.47619047619047616
0.58,1.0,0.2986111111111111,0.45989304812834225
0.585,1.0,0.2916666666666667,0.45161290322580644
0.59,1.0,0.2916666666666667,0.45161290322580644
0.595,1.0,0.2916666666666667,0.45161290322580644
0.6,1.0,0.28125,0.43902439024390244
0.605,1.0,0.25,0.4
0.61,1.0,0.25,0.4
0.615,1.0,0.25,0.4
0.62,1.0,0.25,0.4
0.625,1.0,0.25,0.4
0.63,1.0,0.25,0.4
0.635,1.0,0.25,0.4
0.64,1.0,0.25,0.4
0.645,1.0,0.25,0.4
0.65,1.0,0.25,0.4
0.655,1.0,0.25,0.4
0.66,1.0,0.25,0.4
0.665,1.0,0.25,0.4
0.67,1.0,0.25,0.4
0.675,1.0,0.25,0.4
0.68,1.0,0.25,0.4
0.685,1.0,0.25,0.4
0.6900000000000001,1.0,0.25,0.4
0.6950000000000001,1.0,0.25,0.4
0.7000000000000001,1.0,0.25,0.4
0.705,1.0,0.25,0.4
0.71,1.0,0.25,0.4
0.715,1.0,0.25,0.4
0.72,1.0,0.25,0.4
0.725,1.0,0.25,0.4
0.73,1.0,0.25,0.4
0.735,1.0,0.25,0.4
0.74,1.0,0.25,0.4
0.745,1.0,0.25,0.4
0.75,1.0,0.2361111111111111,0.38202247191011235
0.755,1.0,0.0625,0.11764705882352941
0.76,1.0,0.041666666666666664,0.08
0.765,1.0,0.041666666666666664,0.08
0.77,1.0,0.041666666666666664,0.08
0.775,1.0,0.041666666666666664,0.08
0.78,1.0,0.041666666666666664,0.08
0.785,1.0,0.041666666666666664,0.08
0.79,1.0,0.041666666666666664,0.08
0.795,1.0,0.041666666666666664,0.08
0.8,1.0,0.041666666666666664,0.08
0.805,1.0,0.041666666666666664,0.08
0.81,1.0,0.041666666666666664,0.08
0.8150000000000001,1.0,0.041666666666666664,0.08
0.8200000000000001,1.0,0.041666666666666664,0.08
0.8250000000000001,1.0,0.041666666666666664,0.08
0.8300000000000001,1.0,0.041666666666666664,0.08
0.835,1.0,0.041666666666666664,0.08
0.84,1.0,0.041666666666666664,0.08
0.845,1.0,0.027777777777777776,0.05405405405405406
0.85,1.0,0.024305555555555556,0.04745762711864407
0.855,1.0,0.006944444444444444,0.013793103448275862
0.86,1.0,0.003472222222222222,0.006920415224913495
0.865,0.0,0.0,0.0
0.87,0.0,0.0,0.0
0.875,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.885,0.0,0.0,0.0
0.89,0.0,0.0,0.0
0.895,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.905,0.0,0.0,0.0
0.91,0.0,0.0,0.0
0.915,0.0,0.0,0.0
0.92,0.0,0.0,0.0
0.925,0.0,0.0,0.0
0.93,0.0,0.0,0.0
0.935,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0
0.9450000000000001,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0
0.9550000000000001,0.0,0.0,0.0
0.96,0.0,0.0,0.0
0.965,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.975,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.985,0.0,0.0,0.0
0.99,0.0,0.0,0.0
0.995,0.0,0.0,0.0
1.0,0.0,0.0,0.0
